ID,Task,Project,Date Added,Deadline
2,Move CivicCodeAI domain to Wordpress,Stop Buying Pot,2024-12-06,2024-12-06
1,Stop and Restart Computer Engine for CAISO and name correctly.,Stop and Restart Computer Engine for CAISO and name correctly.,2024-12-06,2024-12-07
4,Stop and Restart Computer Engine for CAISO and name correctly.,CAISO Dashboard - Clean Code and comment,2024-12-06,2024-12-08
3,Civic Code AI - Clean Code and comment,Civic Code AI - Clean Code and comment,2024-12-06,2024-12-08
5,Start Reading a Book,Start Reading a Book,2024-12-06,2024-12-08
6,Move CivicCodeAI domain to Wordpress,Move CivicCodeAI domain to Wordpress,2024-12-06,2024-12-10
7,Check back on EBCE cashout,Check back on EBCE cashout,2024-12-06,2024-12-11
9,DMV registration renew,DMV registration renew,2024-12-06,2024-12-11
8,Check on cash advance BoA,Check on cash advance BoA,2024-12-06,2024-12-11
10,Buy Flowers,Buy Flowers,2024-12-06,2024-12-11
11,Call FTB franchise board to get tax information for EDLLC,Call FTB franchise board to get tax information for EDLLC,2024-12-06,2024-12-12
12,Set GCP Project Organization rights correctly,Set GCP Project Organization rights correctly,2024-12-06,2024-12-13
13,Climb a Mountain,Climb a Mountain,2024-12-06,2024-12-18
14,Go to gym over 5 days,Go to gym over 5 days,2024-12-06,2024-12-25
18,Apply to 100 Jobs,Apply to 100 Jobs,2024-12-06,2024-12-31
15,Build EDLLC website,Build EDLLC website,2024-12-06,2024-12-31
21,Finish Task App,Finish Task App,2024-12-06,2024-12-31
16,Taxes EDLLC,Taxes EDLLC,2024-12-06,2024-12-31
22,Determine next steps for EDLLC,Determine next steps for EDLLC,2024-12-06,2024-12-31
23,Stop Smoking Pot,Stop Smoking Pot,2024-12-06,2024-12-31
17,Quit smoking cigarette,Quit smoking cigarette,2024-12-06,2024-12-31
19,Read a Book,Read a Book,2024-12-06,2024-12-31
24,Weigh 175,Weigh 175,2024-12-06,2024-12-31
25,Reassess Financial status,Reassess Financial status,2024-12-06,2024-12-31
20,Bank account SFFP,Determine if SFFP is Worth Keeping,2024-12-06,2024-12-31
26,Bank account EDLLC,Bank account EDLLC,2024-12-06,2025-02-01
27,Bank account EDLLC,EDLLC articles of organization - 2 year filing,2024-12-06,2025-03-01
27,Determine next steps for EDLLC,EDLLC articles of organization - 2 year filing,2024-12-06,2025-03-01
27,Taxes EDLLC,EDLLC articles of organization - 2 year filing,2024-12-06,2025-03-01
29,Physically Attractive,Physically Attractive,2024-12-06,2025-03-01
27,Call FTB franchise board to get tax information for EDLLC,EDLLC articles of organization - 2 year filing,2024-12-06,2025-03-01
27,Build EDLLC website,EDLLC articles of organization - 2 year filing,2024-12-06,2025-03-01
28,Bank account SFFP,Bank account SFFP,2024-12-06,2025-03-01
31,Propose,Propose,2024-12-06,2025-12-31
32,Healthy as fuck,Healthy as fuck,2024-12-06,2025-12-31
30,Finish Mapp App,Finish Mapp App,2024-12-06,2025-12-31
33,Get Married,Get Married,2024-12-06,2026-06-17
34,Have my kid,Have my kid,2024-12-06,2027-12-31
35,Keep Good Health,Keep Good Health,2024-12-06,2027-12-31
36,Keep Friends,Keep Friends,2024-12-06,2029-12-30
37,Reassess Financial status,Be Financially Independent,2024-12-06,2029-12-31
42,applejack,2,2024-12-06 13:32:51,2024-12-20
43,related task,,2024-12-06 13:33:11,2024-12-18
44,zzzzzzzzzzzzzzzz,zzzzzzzzzzzzzzz,2024-12-06 13:35:54,2024-12-08
